No,Code,Name,Birth (UTC),End (UTC),Min. Press (hPa),Max. Wind (knots)
1,201901,PABUK,2019-01-01 06:00:00,2019-01-04 18:00:00,996,45
2,201727,TEMBIN,2017-12-20 18:00:00,2017-12-25 12:00:00,970,70
3,201726,KAI-TAK,2017-12-14 00:00:00,2017-12-21 12:00:00,994,40
4,201719,DOKSURI,2017-09-12 12:00:00,2017-09-16 00:00:00,955,80
5,201704,TALAS,2017-07-15 06:00:00,2017-07-17 12:00:00,985,50
6,201626,NOCK-TEN,2016-12-21 18:00:00,2016-12-27 18:00:00,915,105
7,201621,SARIKA,2016-10-13 18:00:00,2016-10-19 06:00:00,935,95
8,201921,Wallace,2019-04-05 18:00:00,2019-04-10 00:00:00,980,65
9,201912,Riley,2019-01-24 00:00:00,2019-01-31 00:00:00,974,65
10,201727,noname,2017-04-06 00:00:00,2017-04-16 00:00:00,-,-
11,201820,Marcus,2018-03-15 12:00:00,2018-03-24 12:00:00,905,135
12,201707,Yvette,2016-12-19 00:00:00,2016-12-23 00:00:00,987,45
13,201917,Savannah,2019-03-13 18:00:00,2019-03-17 18:00:00,951,95
14,201803,Dahlia,2017-11-26 00:00:00,2017-12-03 00:00:00,985,50
15,201919,Veronica,2019-03-19 12:00:00,2019-03-26 00:00:00,928,115
